Date,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,Ticker
2025-01-02,5868.5498046875,5935.08984375,5829.52978515625,5903.259765625,3621680000,^GSPC
2025-01-03,5942.47021484375,5949.33984375,5888.66015625,5891.06982421875,3667340000,^GSPC
2025-01-06,5975.3798828125,6021.0400390625,5960.009765625,5982.81005859375,4940120000,^GSPC
2025-01-07,5909.02978515625,6000.68017578125,5890.68017578125,5993.259765625,4517330000,^GSPC
2025-01-08,5918.25,5927.89013671875,5874.77978515625,5910.66015625,4441740000,^GSPC
2025-01-10,5827.0400390625,5890.35009765625,5807.77978515625,5890.35009765625,4751930000,^GSPC
2025-01-13,5836.22021484375,5838.60986328125,5773.31005859375,5782.02001953125,4421200000,^GSPC
2025-01-14,5842.91015625,5871.919921875,5805.419921875,5859.27001953125,4142280000,^GSPC
2025-01-15,5949.91015625,5960.60986328125,5905.2099609375,5905.2099609375,4544570000,^GSPC
2025-01-16,5937.33984375,5964.68994140625,5930.72021484375,5963.60986328125,4285810000,^GSPC
2025-01-17,5996.66015625,6014.9599609375,5978.43994140625,5995.39990234375,4366830000,^GSPC
2025-01-21,6049.240234375,6051.509765625,6006.8798828125,6014.1201171875,4702920000,^GSPC
2025-01-22,6086.3701171875,6100.81005859375,6076.1298828125,6081.39013671875,4323040000,^GSPC
2025-01-23,6118.7099609375,6118.72998046875,6074.669921875,6076.31982421875,4432250000,^GSPC
2025-01-24,6101.240234375,6128.18017578125,6088.740234375,6121.43017578125,4214250000,^GSPC
2025-01-27,6012.27978515625,6017.169921875,5962.919921875,5969.0400390625,5198750000,^GSPC
2025-01-28,6067.7001953125,6074.5400390625,5994.6298828125,6026.97021484375,4473640000,^GSPC
2025-01-29,6039.31005859375,6062.830078125,6012.9599609375,6057.7001953125,4115310000,^GSPC
2025-01-30,6071.169921875,6086.64013671875,6027.4599609375,6050.75,4634620000,^GSPC
2025-01-31,6040.52978515625,6120.91015625,6030.93017578125,6096.7900390625,4843770000,^GSPC
